District,Building Type,Rooms,Area,Floor,Renovation,Price
Արաբկիր,Քարե,1,31,3,Կապիտալ,70000.0
Նոր Նորք,Պանելային,2,42,8,Կապիտալ,64900.0
Քանաքեռ Զեյթուն,Պանելային,2,47,3,Կապիտալ,67000.0
Քանաքեռ Զեյթուն,Քարե,2,69,4,Կոսմետիկ,115000.0
Քանաքեռ Զեյթուն,Քարե,2,48,1,Կապիտալ,78000.0
Քանաքեռ Զեյթուն,Պանելային,2,54,5,Կապիտալ,88000.0
Արաբկիր,Քարե,2,54,2,Նորմալ վիճակ,118000.0
Արաբկիր,Քարե,3,65,3,Կապիտալ,125000.0
Աջափնյակ,Պանելային,3,80,4,Կապիտալ,104000.0
Արաբկիր,Պանելային,2,61,6,Նորմալ վիճակ,95000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,123,9,Կապիտալ,245000.0
Մալաթիա Սեբաստիա,Քարե,3,70,4,Կապիտալ,130000.0
Աջափնյակ,Պանելային,3,70,5,Դիզայներական,120000.0
Աջափնյակ,Մոնոլիտ,3,94,13,Կոսմետիկ,93000.0
Արաբկիր,Մոնոլիտ,2,56,8,Զրոյական վիճակ,125500.0
Քանաքեռ Զեյթուն,Մոնոլիտ,2,65,2,Կապիտալ,100000.0
Աջափնյակ,Քարե,2,45,2,Կապիտալ,77000.0
Արաբկիր,Քարե,2,54,2,Կապիտալ,112000.0
Արաբկիր,Պանելային,3,84,4,Դիզայներական,135000.0
Արաբկիր,Պանելային,2,40,2,Կապիտալ,85000.0
Արաբկիր,Քարե,2,48,3,Կապիտալ,110000.0
Ավան,Պանելային,3,84,6,Դիզայներական,115000.0
Դավթաշեն,Պանելային,3,74,8,Կապիտալ,118000.0
Քանաքեռ Զեյթուն,Պանելային,3,94,1,Նորմալ վիճակ,110000.0
Արաբկիր,Քարե,2,54,1,Նորմալ վիճակ,99000.0
Քանաքեռ Զեյթուն,Պանելային,2,50,8,Կապիտալ,88000.0
Արաբկիր,Քարե,2,57,5,Պետական վիճակ,100000.0
Արաբկիր,Պանելային,2,65,8,Կապիտալ,112000.0
Դավթաշեն,Պանելային,3,77,2,Դիզայներական,130000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,60,8,Զրոյական վիճակ,105000.0
Մալաթիա Սեբաստիա,Պանելային,4,95,7,Պետական վիճակ,80000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,66,3,Կապիտալ,135000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,56,10,Դիզայներական,148000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,42,4,Զրոյական վիճակ,57000.0
Նոր Նորք,Պանելային,5,98,1,Կապիտալ,98000.0
Մալաթիա Սեբաստիա,Պանելային,1,46,8,Նորմալ վիճակ,67000.0
Արաբկիր,Պանելային,2,65,8,Նորմալ վիճակ,112000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,58,3,Դիզայներական,138000.0
Կենտրոն,Մոնոլիտ,2,60,8,Նորմալ վիճակ,95270.0
Աջափնյակ,Քարե,1,30,4,Նորմալ վիճակ,51000.0
Մալաթիա Սեբաստիա,"Մոնոլիտ, Նորակառույց",2,54,15,Զրոյական վիճակ,89000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",3,65,3,Դիզայներական,220000.0
Արաբկիր,Քարե,4,101,5,Նորմալ վիճակ,125000.0
Կենտրոն,Պանելային,3,71,2,Կապիտալ,120000.0
Արաբկիր,Քարե,2,58,4,Դիզայներական,149000.0
Արաբկիր,Պանելային,1,34,6,Նորմալ վիճակ,73000.0
Աջափնյակ,Քարե,1,48,2,Պետական վիճակ,66000.0
Էրեբունի,Պանելային,3,74,7,Նորմալ վիճակ,84000.0
Նոր Նորք,Պանելային,2,51,5,Պետական վիճակ,61500.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",1,36,4,Կապիտալ,80000.0
Արաբկիր,Քարե,3,67,4,Կապիտալ,132000.0
Ավան,"Մոնոլիտ, Նորակառույց",3,84,5,Զրոյական վիճակ,117877.0
Կենտրոն,Պանելային,2,38,2,Կապիտալ,83000.0
Ավան,"Մոնոլիտ, Նորակառույց",2,57,3,Կապիտալ,87000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,94,4,Կապիտալ,193000.0
Մալաթիա Սեբաստիա,Պանելային,3,67,2,Կապիտալ,120000.0
Նոր Նորք,Պանելային,3,74,1,Պետական վիճակ,69000.0
Արաբկիր,Պանելային,2,72,6,Կապիտալ,135000.0
Կենտրոն,Պանելային,2,68,11,Պետական վիճակ,136000.0
Մալաթիա Սեբաստիա,Պանելային,2,48,9,Կոսմետիկ,61000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,72,4,Կապիտալ,175000.0
Կենտրոն,Պանելային,2,40,8,Նորմալ վիճակ,80000.0
Դավթաշեն,Պանելային,3,96,5,Կապիտալ,135000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,83,6,Կապիտալ,205000.0
Շենգավիթ,Պանելային,3,44,1,Պետական վիճակ,55000.0
Արաբկիր,Քարե,2,53,3,Նորմալ վիճակ,87000.0
Կենտրոն,Քարե,3,85,4,Կապիտալ,266000.0
Արաբկիր,Պանելային,3,82,9,Նորմալ վիճակ,160000.0
Քանաքեռ Զեյթուն,Պանելային,3,73,9,Դիզայներական,125000.0
Քանաքեռ Զեյթուն,Քարե,3,78,2,Կապիտալ,110000.0
Մալաթիա Սեբաստիա,Քարե,3,78,3,Նորմալ վիճակ,85000.0
