Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Քանաքեռ Զեյթուն",Մոնոլիտ,2,66,7,Դիզայներական,$175000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",5,200,5,Դիզայներական,$800000
"Երևան, Արաբկիր",Քարե,2,67,3,Նորմալ վիճակ,$150000
"Երևան, Արաբկիր",Քարե,3,63,3,Կապիտալ,$155000
"Երևան, Կենտրոն",Պանելային,3,81,6,Կապիտալ,$158000
"Երևան, Քանաքեռ Զեյթուն",Քարե,3,80,5,Կապիտալ,$97000
"Երևան, Արաբկիր",Քարե,3,70,2,Կապիտալ,$148000
"Երևան, Շենգավիթ",Քարե,1,45,3,Նորմալ վիճակ,$67000
"Երևան, Նոր Նորք",Պանելային,2,38,1,Նորմալ վիճակ,$60000
"Երևան, Կենտրոն",Քարե,2,57,3,Կապիտալ,$240000
"Երևան, Քանաքեռ Զեյթուն",Մոնոլիտ,2,54,2,Կապիտալ,$140000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,73,9,Դիզայներական,$125000
"Երևան, Արաբկիր",Քարե,1,31,3,Կապիտալ,$70000
"Երևան, Նոր Նորք",Պանելային,2,42,8,Կապիտալ,$64900
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,47,3,Կապիտալ,$67000
"Երևան, Քանաքեռ Զեյթուն",Քարե,2,69,4,Կոսմետիկ,$115000
"Երևան, Քանաքեռ Զեյթուն",Քարե,2,48,1,Կապիտալ,$78000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,54,5,Կապիտալ,$88000
"Երևան, Արաբկիր",Քարե,2,54,2,Նորմալ վիճակ,$118000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,105,13,Դիզայներական,$279000
"Երևան, Արաբկիր",Քարե,3,65,3,Կապիտալ,$125000
"Երևան, Աջափնյակ",Պանելային,3,80,4,Կապիտալ,$104000
"Երևան, Արաբկիր",Պանելային,2,61,6,Նորմալ վիճակ,$95000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,123,9,Կապիտալ,$245000
"Երևան, Մալաթիա Սեբաստիա",Քարե,3,70,4,Կապիտալ,$130000
"Երևան, Կենտրոն",Քարե,"4, Դուպլեքս",165,4,Կապիտալ,$380000
"Երևան, Աջափնյակ",Պանելային,3,70,5,Դիզայներական,$120000
"Երևան, Աջափնյակ",Մոնոլիտ,3,94,13,Կոսմետիկ,$93000
"Երևան, Արաբկիր",Մոնոլիտ,2,56,8,Զրոյական վիճակ,$125500
"Երևան, Քանաքեռ Զեյթուն",Մոնոլիտ,2,65,2,Կապիտալ,$100000
"Երևան, Շենգավիթ",Քարե,5,150,2,Կապիտալ,$189381
"Երևան, Աջափնյակ",Քարե,2,45,2,Կապիտալ,$77000
"Երևան, Արաբկիր",Քարե,2,54,2,Կապիտալ,$112000
"Երևան, Արաբկիր",Պանելային,3,84,4,Դիզայներական,$135000
"Երևան, Արաբկիր",Պանելային,2,40,2,Կապիտալ,$85000
"Երևան, Արաբկիր",Քարե,2,48,3,Կապիտալ,$110000
"Երևան, Ավան",Պանելային,3,84,6,Դիզայներական,$115000
"Երևան, Դավթաշեն",Պանելային,3,74,8,Կապիտալ,$118000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,94,1,Նորմալ վիճակ,$110000
"Երևան, Արաբկիր",Քարե,2,54,1,Նորմալ վիճակ,$99000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,50,8,Կապիտալ,$88000
"Երևան, Արաբկիր",Քարե,2,57,5,Պետական վիճակ,$100000
"Երևան, Արաբկիր",Պանելային,2,65,8,Կապիտալ,$112000
"Երևան, Դավթաշեն",Պանելային,3,77,2,Դիզայներական,$130000
"Երևան, Արաբկիր",Քարե,3,96,4,Պետական վիճակ,պայմ.
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,76,6,Զրոյական վիճակ,պայմ.
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,60,8,Զրոյական վիճակ,$105000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,4,95,7,Պետական վիճակ,$80000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",5,238,4,Դիզայներական,$520000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,66,3,Կապիտալ,$135000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,56,10,Դիզայներական,$148000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,42,4,Զրոյական վիճակ,$57000
"Երևան, Նոր Նորք",Պանելային,5,98,1,Կապիտալ,$98000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,1,46,8,Նորմալ վիճակ,$67000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,99,4,Զրոյական վիճակ,պայմ.
"Երևան, Արաբկիր",Պանելային,2,65,8,Նորմալ վիճակ,$112000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,58,3,Դիզայներական,$138000
"Երևան, Կենտրոն",Մոնոլիտ,2,60,8,Նորմալ վիճակ,$95270
"Երևան, Աջափնյակ",Քարե,1,30,4,Նորմալ վիճակ,$51000
"Երևան, Կենտրոն",Քարե,2,80,3,Զրոյական վիճակ,$275000
"Երևան, Կենտրոն",Քարե,3,78,4,Կապիտալ,$400000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,54,15,Զրոյական վիճակ,$89000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,65,3,Դիզայներական,$220000
"Երևան, Արաբկիր",Քարե,4,101,5,Նորմալ վիճակ,$125000
"Երևան, Կենտրոն",Պանելային,3,100,2,Դիզայներական,$450000
"Երևան, Կենտրոն",Պանելային,3,71,2,Կապիտալ,$120000
"Երևան, Արաբկիր",Քարե,2,58,4,Դիզայներական,$149000
"Երևան, Արաբկիր",Պանելային,1,34,6,Նորմալ վիճակ,$73000
"Երևան, Աջափնյակ",Քարե,1,48,2,Պետական վիճակ,$66000
"Երևան, Էրեբունի",Պանելային,3,74,7,Նորմալ վիճակ,$84000
"Երևան, Նոր Նորք",Պանելային,2,51,5,Պետական վիճակ,$61500
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",1,36,4,Կապիտալ,$80000
"Երևան, Արաբկիր",Քարե,3,67,4,Կապիտալ,$132000
"Երևան, Կենտրոն",Մոնոլիտ,4,160,2,Դիզայներական,$750000
"Երևան, Կենտրոն",Մոնոլիտ,3,102,11,Կապիտալ,$360000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",3,84,5,Զրոյական վիճակ,$117877
"Երևան, Կենտրոն",Պանելային,2,38,2,Կապիտալ,$83000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,57,3,Կապիտալ,$87000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,94,4,Կապիտալ,$193000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,67,2,Կապիտալ,$120000
"Երևան, Նոր Նորք",Պանելային,3,74,1,Պետական վիճակ,$69000
"Երևան, Կենտրոն",Քարե,3,95,5,Դիզայներական,$279000
"Երևան, Արաբկիր",Պանելային,2,72,6,Կապիտալ,$135000
"Երևան, Կենտրոն",Քարե,3,100,2,Կապիտալ,$335000
"Երևան, Կենտրոն",Պանելային,2,68,11,Պետական վիճակ,$136000
