Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Արաբկիր",Քարե,2,54 ,2,Նորմալ վիճակ,$125000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,119 ,3,Կոսմետիկ,$185000
"Երևան, Նոր Նորք",Պանելային,2,54 ,3,Կոսմետիկ,$72000
"Երևան, Արաբկիր",Պանելային,3,95 ,8,Դիզայներական,$255000
"Երևան, Արաբկիր",Պանելային,3,94 ,3,Նորմալ վիճակ,$147000
"Երևան, Ավան",Պանելային,2,60 ,3,Կոսմետիկ,$72000
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",2,59 ,7,Պետական վիճակ,$99000
"Երևան, Նոր Նորք",Պանելային,3,78 ,9,Կոսմետիկ,$83000
"Երևան, Շենգավիթ",Քարե,3,78 ,1,Նորմալ վիճակ,$73000
"Երևան, Նոր Նորք",Պանելային,1,40 ,7,Կապիտալ,$67000
"Երևան, Կենտրոն",Պանելային,1,40 ,11,Կապիտալ,$85000
"Երևան, Նոր Նորք",Քարե,3,54 ,5,Կապիտալ,$72000
"Երևան, Աջափնյակ",Պանելային,3,80 ,3,Նորմալ վիճակ,$87000
"Երևան, Աջափնյակ",Քարե,1,35 ,4,Նորմալ վիճակ,$62000
"Երևան, Շենգավիթ",Քարե,2,63 ,3,Կապիտալ,պայմ.
"Երևան, Արաբկիր",Քարե,2,54 ,2,Նորմալ վիճակ,$124000
"Երևան, Աջափնյակ",Քարե,3,70 ,3,Նորմալ վիճակ,$85000
"Երևան, Դավթաշեն",Պանելային,3,98 ,9,Կապիտալ,$143000
"Երևան, Աջափնյակ",Պանելային,2,80 ,13,Կապիտալ,$85000
"Երևան, Մալաթիա Սեբաստիա",Քարե,4,105 ,3,Կոսմետիկ,$88000
"Երևան, Արաբկիր",Պանելային,3,85 ,5,Նորմալ վիճակ,$130000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,55 ,8,Կապիտալ,$133000
"Երևան, Նոր Նորք",Պանելային,1,38 ,5,Նորմալ վիճակ,$46000
"Երևան, Կենտրոն",Պանելային,2,85 ,5,Նորմալ վիճակ,$169000
"Երևան, Շենգավիթ",Քարե,1,35 ,4,Կապիտալ,$75000
"Երևան, Քանաքեռ Զեյթուն",Քարե,3,63 ,3,Նորմալ վիճակ,$95000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,67 ,3,Դիզայներական,$265000
"Երևան, Արաբկիր",Քարե,3,79 ,5,Պետական վիճակ,$127000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,74 ,10,Պետական վիճակ,$165000
"Երևան, Արաբկիր",Քարե,3,92 ,4,Կապիտալ,$260000
"Երևան, Նոր Նորք",Կասետային,2,52 ,1,Նորմալ վիճակ,$63000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,74 ,14,Զրոյական վիճակ,$110000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,46 ,9,Կապիտալ,$77000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,68 ,6,Դիզայներական,$199000
"Երևան, Մալաթիա Սեբաստիա",Քարե,2,60 ,3,Նորմալ վիճակ,$79000
"Երևան, Աջափնյակ",Մոնոլիտ,3,83 ,13,Դիզայներական,$190000
"Երևան, Դավթաշեն",Պանելային,3,97 ,2,Կապիտալ,$135000
"Երևան, Կենտրոն",Պանելային,1,39 ,9,Պետական վիճակ,$72000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,42 ,16,Զրոյական վիճակ,$88000
"Երևան, Ավան",Պանելային,2,67 ,8,Նորմալ վիճակ,$85000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,65 ,10,Դիզայներական,$160000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,54 ,6,Նորմալ վիճակ,$71500
"Երևան, Ավան",Պանելային,2,63 ,8,Կապիտալ,$84000
"Երևան, Արաբկիր",Քարե,2,67 ,2,Նորմալ վիճակ,$105000
"Երևան, Շենգավիթ",Պանելային,1,33 ,3,Կոսմետիկ,$51000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,90 ,2,Կոսմետիկ,$93000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,4,72 ,2,Կապիտալ,$130000
"Երևան, Աջափնյակ",Քարե,2,56 ,2,Զրոյական վիճակ,$88000
"Երևան, Էրեբունի",Պանելային,2,60 ,8,Կապիտալ,$70000
"Երևան, Արաբկիր",Քարե,2,46 ,2,Կապիտալ,$118000
"Երևան, Կենտրոն",Քարե,2,36 ,5,Կոսմետիկ,$70000
"Երևան, Դավթաշեն",Պանելային,3,75 ,7,Կապիտալ,$125000
"Երևան, Մալաթիա Սեբաստիա",Կասետային,4,87 ,6,Կապիտալ,$120000
"Երևան, Արաբկիր",Պանելային,3,91 ,9,Պետական վիճակ,$150000
"Երևան, Էրեբունի",Քարե,1,30 ,2,Նորմալ վիճակ,$56500
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,80 ,10,Զրոյական վիճակ,$154675
"Երևան, Արաբկիր",Մոնոլիտ,3,67 ,1,Կոսմետիկ,$145000
"Երևան, Ավան",Պանելային,4,105 ,6,Կապիտալ,$145000
"Երևան, Արաբկիր",Պանելային,3,55 ,4,Կապիտալ,$109000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",3,72 ,14,Պետական վիճակ,$147000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",2,61 ,2,Դիզայներական,$105000
"Երևան, Արաբկիր",Քարե,1,43 ,5,Նորմալ վիճակ,$76000
"Երևան, Արաբկիր",Պանելային,2,43 ,14,Կապիտալ,$79500
"Երևան, Արաբկիր",Քարե,2,33 ,5,Կապիտալ,$79000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,57 ,6,Կոսմետիկ,$66000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,67 ,3,Պետական վիճակ,$77000
"Երևան, Մալաթիա Սեբաստիա",Մոնոլիտ,3,65 ,10,Կոսմետիկ,$85000
"Երևան, Շենգավիթ",Պանելային,3,57 ,2,Կոսմետիկ,$85000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,100 ,14,Զրոյական վիճակ,$224279
"Երևան, Կենտրոն",Քարե,4,110 ,3,Կապիտալ,$450000
"Երևան, Արաբկիր",Քարե,2,60 ,1,Կապիտալ,$112000
"Երևան, Արաբկիր",Մոնոլիտ,4,150 ,4,Կապիտալ,$380000
"Երևան, Նոր Նորք",Պանելային,3,53 ,4,Պետական վիճակ,$65000
"Երևան, Կենտրոն",Քարե,3,86 ,3,Կապիտալ,$325000
"Երևան, Ավան",Քարե,2,59 ,5,Կոսմետիկ,$79000
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",2,62 ,3,Դիզայներական,$137000
"Երևան, Կենտրոն",Պանելային,4,85 ,15,Դիզայներական,$220000
"Երևան, Արաբկիր",Քարե,1,42 ,4,Կապիտալ,$74500
"Երևան, Շենգավիթ",Քարե,3,74 ,1,Կապիտալ,$92000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",4,96 ,9,Զրոյական վիճակ,$155000
"Երևան, Նոր Նորք",Քարե,2,57 ,5,Կապիտալ,$89000
"Երևան, Էրեբունի",Քարե,2,56 ,2,Նորմալ վիճակ,$84500
"Երևան, Նուբարաշեն",Քարե,3,78 ,1,Պետական վիճակ,$74000
"Երևան, Դավթաշեն",Մոնոլիտ,2,77 ,15,Զրոյական վիճակ,$112000
"Երևան, Էրեբունի",Պանելային,2,43 ,8,Կապիտալ,$56000
"Երևան, Արաբկիր",Պանելային,3,74 ,3,Կապիտալ,$250000
"Երևան, Դավթաշեն",Պանելային,2,45 ,4,Նորմալ վիճակ,$92000
"Երևան, Կենտրոն",Պանելային,3,77 ,2,Նորմալ վիճակ,$220000
"Երևան, Էրեբունի",Պանելային,3,50 ,3,Դիզայներական,$67500
"Երևան, Արաբկիր",Պանելային,5,100 ,6,Նորմալ վիճակ,$194000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,77 ,3,Կոսմետիկ,$86000
"Երևան, Նորք Մարաշ",Քարե,3,60 ,1,Կապիտալ,$82000
"Երևան, Նոր Նորք",Պանելային,2,56 ,4,Կոսմետիկ,$80000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,84 ,3,Կապիտալ,$160000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,68 ,9,Կապիտալ,$86000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,70 ,1,Կապիտալ,$76000
"Երևան, Շենգավիթ",Քարե,3,75 ,4,Նորմալ վիճակ,$82000
"Երևան, Շենգավիթ",Պանելային,2,68 ,10,Կապիտալ,$84000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,67 ,1,Կոսմետիկ,$71000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,75 ,5,Զրոյական վիճակ,$138000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,71 ,14,Կապիտալ,$164000
"Երևան, Կենտրոն",Պանելային,3,92 ,8,Նորմալ վիճակ,$115000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,150 ,10,Կապիտալ,$300000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,59 ,5,Դիզայներական,$159000
"Երևան, Կենտրոն",Պանելային,2,70 ,3,Դիզայներական,$225000
"Երևան, Արաբկիր",Պանելային,2,54 ,1,Կապիտալ,$103000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,181 ,4,Կապիտալ,$847000
"Երևան, Արաբկիր",Պանելային,2,72 ,6,Պետական վիճակ,$130000
"Երևան, Աջափնյակ",Քարե,1,32 ,4,Նորմալ վիճակ,$51000
"Երևան, Արաբկիր",Մոնոլիտ,2,60 ,2,Զրոյական վիճակ,$105000
"Երևան, Աջափնյակ",Քարե,1,33 ,4,Կապիտալ,$51000
"Երևան, Արաբկիր",Քարե,1,30 ,4,Նորմալ վիճակ,$95000
"Երևան, Դավթաշեն",Պանելային,3,72 ,3,Կապիտալ,$143000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,55 ,2,Դիզայներական,$120000
"Երևան, Արաբկիր",Քարե,3,88 ,3,Կապիտալ,պայմ.
"Երևան, Կենտրոն",Պանելային,3,73 ,9,Նորմալ վիճակ,$140000
"Երևան, Մալաթիա Սեբաստիա",Քարե,2,57 ,5,Կապիտալ,$80000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,50 ,5,Կապիտալ,$88000
"Երևան, Նոր Նորք",Պանելային,4,68 ,2,Նորմալ վիճակ,$85000
"Երևան, Նոր Նորք",Պանելային,3,74 ,1,Կոսմետիկ,$82000
"Երևան, Շենգավիթ",Պանելային,3,81 ,3,Կապիտալ,$125000
"Երևան, Կենտրոն",Պանելային,3,70 ,8,Դիզայներական,$130000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,75 ,8,Կապիտալ,$265000
"Երևան, Դավթաշեն",Պանելային,4,115 ,7,Կոսմետիկ,$205000
"Երևան, Ավան",Պանելային,3,43 ,9,Կոսմետիկ,$60000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,4,85 ,9,Նորմալ վիճակ,$100000
"Երևան, Արաբկիր",Քարե,1,38 ,4,Կապիտալ,$451
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,205 ,4,Դիզայներական,պայմ.
"Երևան, Շենգավիթ",Պանելային,1,30 ,1,Պետական վիճակ,$45500
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,59 ,11,Դիզայներական,$117000
"Երևան, Նոր Նորք",Պանելային,2,65 ,1,Նորմալ վիճակ,$170000
"Երևան, Նոր Նորք",Քարե,2,56 ,4,Կապիտալ,$89000
"Երևան, Նոր Նորք",Քարե,4,94 ,5,Նորմալ վիճակ,$140000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,78 ,9,Կապիտալ,$352000
"Երևան, Մալաթիա Սեբաստիա",Քարե,1,46 ,1,Պետական վիճակ,$68500
"Երևան, Կենտրոն",Քարե,2,42 ,3,Կապիտալ,$150000
"Երևան, Աջափնյակ",Քարե,1,32 ,3,Կապիտալ,$56000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,55 ,2,Նորմալ վիճակ,$64900
"Երևան, Դավթաշեն",Պանելային,2,56 ,6,Նորմալ վիճակ,$85000
"Երևան, Ավան",Քարե,2,40 ,4,Կապիտալ,$67000
"Երևան, Նոր Նորք",Քարե,4,93 ,5,Կոսմետիկ,$115000
"Երևան, Կենտրոն",Քարե,1,37 ,3,Կապիտալ,$163500
"Երևան, Դավթաշեն",Մոնոլիտ,3,116 ,5,Կապիտալ,$266000
"Երևան, Շենգավիթ",Քարե,3,104 ,5,Կոսմետիկ,$115000
"Երևան, Արաբկիր",Քարե,3,78 ,3,Կապիտալ,$147000
"Երևան, Ավան",Քարե,3,81 ,5,Կապիտալ,$120000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",3,78 ,3,Կապիտալ,$165000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",1,40 ,3,Նորմալ վիճակ,$76500
"Երևան, Նոր Նորք",Պանելային,3,78 ,5,Կապիտալ,$115000
"Երևան, Շենգավիթ",Քարե,3,75 ,3,Կոսմետիկ,$95000
"Երևան, Նոր Նորք",Մոնոլիտ,4,81 ,2,Կապիտալ,$125000
"Երևան, Քանաքեռ Զեյթուն",Մոնոլիտ,3,90 ,8,Պետական վիճակ,$102000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,59 ,14,Կապիտալ,$120000
"Երևան, Արաբկիր",Քարե,2,46 ,4,Պետական վիճակ,$82000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,65 ,2,Կոսմետիկ,$82000
"Երևան, Արաբկիր",Քարե,3,77 ,5,Նորմալ վիճակ,$110000
"Երևան, Նոր Նորք",Մոնոլիտ,2,61 ,11,Պետական վիճակ,$79000
"Երևան, Նոր Նորք",Մոնոլիտ,2,64 ,11,Պետական վիճակ,$80000
"Երևան, Արաբկիր",Պանելային,2,50 ,9,Կապիտալ,$96000
"Երևան, Նոր Նորք",Քարե,3,79 ,2,Զրոյական վիճակ,$110000
"Երևան, Կենտրոն",Քարե,2,58 ,4,Կապիտալ,$250000
"Երևան, Արաբկիր",Քարե,2,68 ,2,Պետական վիճակ,$125000
"Երևան, Շենգավիթ",Քարե,2,47 ,4,Դիզայներական,$87000
"Երևան, Շենգավիթ",Պանելային,2,38 ,1,Պետական վիճակ,$43500
"Երևան, Արաբկիր",Քարե,2,50 ,2,Նորմալ վիճակ,$72000
"Երևան, Շենգավիթ",Քարե,3,57 ,4,Դիզայներական,$73500
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",3,63 ,3,Զրոյական վիճակ,$114000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,1,46 ,3,Նորմալ վիճակ,$57000
"Երևան, Դավթաշեն",Պանելային,3,97 ,2,Նորմալ վիճակ,$120000
"Երևան, Ավան",Պանելային,3,90 ,1,Կապիտալ,$108000
"Երևան, Նոր Նորք",Քարե,2,55 ,4,Նորմալ վիճակ,$87000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,63 ,2,Պետական վիճակ,$78500
"Երևան, Աջափնյակ",Քարե,2,48 ,5,Նորմալ վիճակ,$75000
"Երևան, Արաբկիր",Պանելային,2,44 ,4,Կապիտալ,$85000
"Երևան, Նոր Նորք",Պանելային,3,76 ,1,Կոսմետիկ,$75000
"Երևան, Աջափնյակ",Պանելային,3,76 ,3,Կապիտալ,$125000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,72 ,15,Կապիտալ,$126318
"Երևան, Նոր Նորք",Պանելային,2,52 ,4,Կոսմետիկ,$66000
"Երևան, Նոր Նորք",Պանելային,2,61 ,4,Նորմալ վիճակ,$72000
"Երևան, Արաբկիր",Քարե,3,78 ,1,Նորմալ վիճակ,$106000
"Երևան, Մալաթիա Սեբաստիա",Քարե,1,44 ,3,Զրոյական վիճակ,$63000
"Երևան, Դավթաշեն",Պանելային,3,98 ,2,Դիզայներական,$178000
"Երևան, Նոր Նորք",Պանելային,1,32 ,2,Նորմալ վիճակ,$49500
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,180 ,4,Կապիտալ,$470000
"Երևան, Նոր Նորք",Պանելային,3,75 ,5,Կապիտալ,$87000
"Երևան, Ավան",Պանելային,3,83 ,9,Կապիտալ,$96000
"Երևան, Դավթաշեն",Պանելային,2,66 ,10,Կապիտալ,$133000
"Երևան, Ավան",Պանելային,1,36 ,9,Նորմալ վիճակ,$54000
"Երևան, Արաբկիր",Պանելային,3,96 ,9,Կապիտալ,$150000
"Երևան, Էրեբունի",Քարե,1,35 ,4,Նորմալ վիճակ,$56000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,46 ,7,Կապիտալ,$255000
"Երևան, Նոր Նորք",Պանելային,4,100 ,5,Կապիտալ,$125000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,90 ,3,Կապիտալ,$150000
"Երևան, Արաբկիր",Քարե,2,45 ,7,Կապիտալ,$136000
"Երևան, Արաբկիր",Պանելային,3,90 ,1,Դիզայներական,$133000
"Երևան, Շենգավիթ",Քարե,2,48 ,5,Դիզայներական,$567
"Երևան, Նոր Նորք",Քարե,2,63 ,4,Պետական վիճակ,$83000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,50 ,14,Պետական վիճակ,$115000
"Երևան, Արաբկիր",Քարե,1,44 ,4,Պետական վիճակ,$70000
"Երևան, Արաբկիր",Քարե,2,65 ,4,Կապիտալ,$122000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,70 ,3,Կապիտալ,$210000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",4,139 ,5,Զրոյական վիճակ,$3000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,1,32 ,3,Կապիտալ,$57000
"Երևան, Էրեբունի",Քարե,4,92 ,2,Կոսմետիկ,$82000
"Լոռի, Վանաձոր",Քարե,4,105 ,3,Նորմալ վիճակ,$74000
"Երևան, Արաբկիր",Պանելային,3,89 ,4,Կապիտալ,$159000
"Երևան, Կենտրոն",Այլ,"3, Դուպլեքս",100 ,5,Կապիտալ,$250000
"Երևան, Կենտրոն",Պանելային,3,80 ,3,Կապիտալ,$195000
"Երևան, Կենտրոն",Պանելային,2,42 ,7,Կոսմետիկ,$90000
"Երևան, Արաբկիր",Քարե,2,46 ,7,Նորմալ վիճակ,$72000
"Երևան, Արաբկիր",Պանելային,3,100 ,7,Կապիտալ,պայմ.
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,65 ,13,Կապիտալ,$175000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,61 ,2,Կապիտալ,$226857
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",1,36 ,5,Զրոյական վիճակ,$46600
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,64 ,6,Կապիտալ,$338500
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,50 ,8,Պետական վիճակ,$65000
"Երևան, Արաբկիր",Քարե,3,110 ,3,Դիզայներական,$255000
"Երևան, Կենտրոն",Քարե,4,308 ,3,Դիզայներական,$480000
"Երևան, Արաբկիր",Պանելային,3,65 ,3,Կոսմետիկ,$138000
"Երևան, Արաբկիր",Քարե,2,74 ,2,Կապիտալ,$140000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,61 ,7,Դիզայներական,$152000
"Երևան, Շենգավիթ",Քարե,3,75 ,2,Կապիտալ,$902
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,56 ,6,Զրոյական վիճակ,$115000
"Երևան, Շենգավիթ",Քարե,4,50 ,5,Կապիտալ,$75000
"Երևան, Շենգավիթ",Քարե,3,65 ,4,Կապիտալ,$98000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,58 ,10,Կապիտալ,$70000
"Երևան, Նոր Նորք",Պանելային,2,55 ,3,Կապիտալ,$95000
"Երևան, Շենգավիթ",Պանելային,2,38 ,1,Զրոյական վիճակ,$44000
"Երևան, Աջափնյակ",Քարե,3,70 ,2,Նորմալ վիճակ,$86000
"Երևան, Կենտրոն",Պանելային,2,38 ,8,Կապիտալ,$120000
"Երևան, Արաբկիր",Քարե,2,73 ,5,Նորմալ վիճակ,$153000
"Երևան, Արաբկիր",Քարե,1,39 ,4,Դիզայներական,$85000
"Երևան, Արաբկիր",Քարե,2,64 ,5,Պետական վիճակ,$81500
"Երևան, Աջափնյակ",Քարե,2,34 ,5,Դիզայներական,$68000
"Երևան, Կենտրոն",Քարե,3,105 ,5,Դիզայներական,$262000
"Երևան, Էրեբունի",Պանելային,3,72 ,9,Նորմալ վիճակ,$81000
"Երևան, Արաբկիր",Պանելային,3,80 ,7,Կապիտալ,$153000
"Արարատ, Մասիս",Պանելային,3,62 ,4,Նորմալ վիճակ,$56000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,121 ,13,Կապիտալ,$420000
"Երևան, Էրեբունի",Պանելային,2,45 ,3,Պետական վիճակ,$66000
"Երևան, Աջափնյակ",Պանելային,2,65 ,4,Նորմալ վիճակ,$74500
"Երևան, Ավան",Պանելային,3,101 ,3,Կապիտալ,$133000
"Երևան, Նուբարաշեն",Քարե,3,200 ,1,Նորմալ վիճակ,$99000
"Երևան, Աջափնյակ",Քարե,1,30 ,4,Նորմալ վիճակ,$51000
"Երևան, Նոր Նորք",Քարե,2,48 ,1,Նորմալ վիճակ,$72000
"Երևան, Նոր Նորք",Պանելային,2,67 ,9,Կապիտալ,$80000
"Երևան, Էրեբունի",Պանելային,2,55 ,4,Կապիտալ,$77000
"Երևան, Քանաքեռ Զեյթուն",Քարե,1,32 ,2,Կապիտալ,$53000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,82 ,9,Կոսմետիկ,$110000
"Կոտայք, Աբովյան",Քարե,2,52 ,3,Կոսմետիկ,$68000
"Երևան, Արաբկիր",Պանելային,4,108 ,1,Կապիտալ,$39
"Երևան, Դավթաշեն",Պանելային,1,54 ,6,Պետական վիճակ,$75000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,68 ,12,Կապիտալ,$290000
"Երևան, Կենտրոն",Քարե,2,65 ,4,Դիզայներական,$240000
"Երևան, Նոր Նորք",Պանելային,3,76 ,6,Կապիտալ,$86000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",2,60 ,2,Զրոյական վիճակ,$105000
"Երևան, Նոր Նորք",Պանելային,3,76 ,1,Կապիտալ,$80000
"Երևան, Նոր Նորք",Քարե,3,65 ,3,Կոսմետիկ,$84000
"Երևան, Մալաթիա Սեբաստիա",Քարե,1,44 ,3,Պետական վիճակ,$56000
"Երևան, Դավթաշեն",Այլ,2,41 ,3,Կապիտալ,$70000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",3,96 ,9,Պետական վիճակ,$148000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,4,79 ,1,Կապիտալ,$112500
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,72 ,4,Զրոյական վիճակ,$110000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,2,65 ,8,Կապիտալ,$80000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,4,120 ,16,Կապիտալ,$97000
"Երևան, Դավթաշեն",Պանելային,3,67 ,14,Կապիտալ,$86000
"Երևան, Նոր Նորք",Պանելային,3,74 ,9,Կոսմետիկ,$78000
"Երևան, Դավթաշեն",Պանելային,2,41 ,3,Կապիտալ,$72000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",4,109 ,3,Դիզայներական,$255000
"Երևան, Էրեբունի",Քարե,3,50 ,5,Կապիտալ,$83000
"Կոտայք, Աբովյան",Քարե,2,46 ,3,Կոսմետիկ,$40000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",4,125 ,12,Կապիտալ,$235000
"Երևան, Ավան",Քարե,2,58 ,3,Պետական վիճակ,$72000
"Երևան, Աջափնյակ",Քարե,1,30 ,4,Նորմալ վիճակ,$52000
"Երևան, Արաբկիր",Պանելային,4,86 ,5,Կապիտալ,$170000
"Երևան, Նոր Նորք","Մոնոլիտ, Նորակառույց",2,60 ,2,Կապիտալ,$85000
"Երևան, Նուբարաշեն",Քարե,4,97 ,5,Պետական վիճակ,$81000
"Կոտայք, Եղվարդ",Քարե,4,96 ,5,Կոսմետիկ,$66000
"Երևան, Արաբկիր",Քարե,3,63 ,5,Կապիտալ,$149000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,50 ,8,Կապիտալ,$98000
"Երևան, Ավան",Պանելային,2,62 ,6,Նորմալ վիճակ,$85000
"Երևան, Շենգավիթ",Քարե,3,75 ,2,Կապիտալ,$100000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",1,35 ,14,Կապիտալ,$84000
"Երևան, Շենգավիթ",Քարե,3,68 ,3,Դիզայներական,$100000
"Երևան, Շենգավիթ",Քարե,3,78 ,2,Նորմալ վիճակ,$125000
"Երևան, Ավան",Պանելային,2,56 ,6,Կոսմետիկ,$87000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,84 ,9,Նորմալ վիճակ,$102000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,40 ,8,Կապիտալ,$150000
"Երևան, Նոր Նորք",Պանելային,4,94 ,7,Կապիտալ,$125000
"Երևան, Շենգավիթ",Պանելային,1,30 ,2,Պետական վիճակ,$55000
"Երևան, Էրեբունի",Պանելային,3,65 ,8,Կապիտալ,$85000
"Երևան, Աջափնյակ","Մոնոլիտ, Նորակառույց",2,72 ,12,Կապիտալ,$130000
"Երևան, Շենգավիթ",Քարե,3,74 ,4,Կոսմետիկ,$98000
"Երևան, Աջափնյակ",Քարե,1,30 ,4,Կապիտալ,$55000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,61 ,5,Կապիտալ,$95000
"Երևան, Նոր Նորք",Պանելային,3,85 ,8,Նորմալ վիճակ,$104000
"Արմավիր, Մեծամոր",Պանելային,2,60 ,2,Կոսմետիկ,$41000
"Երևան, Նոր Նորք",Քարե,4,94 ,4,Նորմալ վիճակ,$105000
"Երևան, Կենտրոն",Պանելային,4,108 ,3,Կոսմետիկ,$175000
"Երևան, Նոր Նորք",Քարե,3,71 ,1,Կոսմետիկ,$96000
"Երևան, Շենգավիթ",Քարե,3,78 ,2,Կապիտալ,$135000
"Երևան, Շենգավիթ",Քարե,3,56 ,5,Կապիտալ,$230000
"Երևան, Քանաքեռ Զեյթուն",Մոնոլիտ,3,80 ,10,Կոսմետիկ,$97000
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",2,43 ,1,Կապիտալ,$76000
"Երևան, Շենգավիթ",Քարե,3,34 ,2,Կապիտալ,$74000
"Երևան, Նոր Նորք",Քարե,2,55 ,1,Նորմալ վիճակ,$67000
"Երևան, Քանաքեռ Զեյթուն","Քարե, Նորակառույց",2,38 ,4,Կապիտալ,$65000
"Կոտայք, Раздан",Քարե,2,58 ,4,Նորմալ վիճակ,$32000
"Երևան, Աջափնյակ",Քարե,3,70 ,4,Կապիտալ,$97000
"Երևան, Էրեբունի",Պանելային,3,69 ,12,Կապիտալ,$86000
